model,model_family,variant,schedule,ckpt_step,split,breakdown,bucket,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,8,0.3,3000,900,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,9,0.539,3000,1617,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K2_N6,1.0,500,500,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K2_N8,0.594,1000,594,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K2_N10,0.956,1500,1434,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K2_N12,0.742,1000,742,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K4_N6,0.924,500,462,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K4_N8,0.884,1000,884,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K4_N10,0.8146666666666667,1500,1222,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K4_N12,0.546,1000,546,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K6_N6,0.446,500,223,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K6_N8,0.792,1000,792,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K6_N10,0.8066666666666666,1500,1210,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K6_N12,0.673,1000,673,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K8_N6,0.922,500,461,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K8_N8,0.812,1000,812,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K8_N10,0.8173333333333334,1500,1226,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K8_N12,0.471,1000,471,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K10_N6,0.722,500,361,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K10_N8,0.771,1000,771,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K10_N10,0.16933333333333334,1500,254,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K10_N12,0.152,1000,152,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K12_N6,0.592,500,296,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K12_N8,0.727,1000,727,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K12_N10,0.15,1500,225,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_cell,K12_N12,0.142,1000,142,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_duplicate,True,0.6395490773318016,13927,8907,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,"chance 0.10; True = the target value also occurs elsewhere in the queried key's history, so a 'most frequent value' shortcut can score; False is the shortcut-free measure"
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_duplicate,False,0.6227538965551475,10073,6273,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,"chance 0.10; True = the target value also occurs elsewhere in the queried key's history, so a 'most frequent value' shortcut can score; False is the shortcut-free measure"
