model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,26,0.722222,0.43443085606773285,0.010397555506790664,5.124741298212606,0.5756814164923958,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,27,0.75,0.5087488240827845,0.007879733430431583,4.486547507055503,0.6332842820353356,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,28,0.777778,0.7017873941674506,0.005799072439293471,2.864910630291628,0.7869153715000248,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,29,0.805556,0.7102539981185324,0.009848543614903038,2.7448730009407334,0.7933764018908344,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,30,0.833333,0.7196613358419568,0.014850489001445828,2.5802445907808087,0.8027313813184305,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,31,0.861111,0.8203198494825965,0.008157848876266714,1.7847601128880526,0.8795320020131223,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,32,0.888889,0.8265286923800564,0.004061530224820867,1.852681091251176,0.8820306146813388,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,33,0.916667,0.805079962370649,0.011755785024883003,1.8103480714957665,0.8714170717505226,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,34,0.944444,0.78758231420508,0.00856842712077945,1.7262464722483535,0.8632843777833564,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,35,0.972222,0.7892756349952963,0.009444892115154174,1.7288805268109126,0.8639179442225874,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,36,1.0,0.7883349012229539,0.009920170330358661,1.712888052681091,0.8637496739973898,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,0,0.0,0.023732044144161992,0.00031927938247325576,24.327379155026318,0.09867804812765538,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,1,0.027778,0.03689934153606361,0.004619420530786772,20.423762688804793,0.12672704066690021,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,2,0.055556,0.03787442293594341,0.0027569947348099998,19.681006518594835,0.1339670649208186,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,3,0.083333,0.038848975979605446,0.003537925879003225,19.83887380872184,0.13291731213973948,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,4,0.111111,0.05380330618903264,0.005977504272321756,19.03638934569687,0.15098788816396227,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,5,0.138889,0.06160620290199653,0.007226168997863385,18.81570076545607,0.16023176941208117,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,6,0.166667,0.05851756454201422,0.005415966712745731,18.82790183141474,0.15863146968468525,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,7,0.194444,0.060144373336503465,0.008534383413421701,18.937123760839558,0.1572479679941148,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,8,0.222222,0.058356019628433495,0.007500204890369595,19.259780732169627,0.15444543215236087,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,9,0.25,0.0690842926300912,0.006137826902513411,18.36051343015461,0.17038803492175097,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,10,0.277778,0.0650192519796847,0.006333942811705456,18.510871193358565,0.1659643554011212,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,11,0.305556,0.06615799171801628,0.0061463528362490465,18.203500359942677,0.17084138120583398,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,12,0.333333,0.0707099126230905,0.00966439845116553,18.12419739388296,0.1741011344387415,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,13,0.361111,0.07900074630315759,0.007989111068402655,17.499582598587967,0.18701771023538377,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,14,0.388889,0.07331074610502401,0.0041780357785077766,17.65901646490064,0.17918436698568133,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,15,0.416667,0.06924742261232522,0.004963792511921281,17.77651958550455,0.1769521947674338,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,16,0.444444,0.07623717910615338,0.007633001926227566,17.68316709925832,0.1826842282698404,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,17,0.472222,0.07656172191291369,0.003414099598842912,17.523367742532013,0.18301610257212722,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,18,0.5,0.07737367333055947,0.005381705341986229,17.02199124249569,0.18710311165485488,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,19,0.527778,0.07607259614432049,0.003963486877849013,16.908687629199605,0.18648511537712578,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
