model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,100,100,B,0.33,0.24,0.42,67,21,0.14,0.07,0.21,86,21,-0.19
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,5,100,C,0.85,0.77,0.92,15,2,0.18,0.11,0.26,82,0,-0.67
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,7,100,C,0.74,0.65,0.82,26,3,0.12,0.06,0.19,88,2,-0.62
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,10,100,C,0.64,0.55,0.73,36,5,0.23,0.15,0.32,77,1,-0.41
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,15,100,C,0.55,0.45,0.65,45,7,0.07,0.02,0.12,93,3,-0.48
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,20,100,C,0.5,0.4,0.59,50,10,0.12,0.06,0.1802,88,6,-0.38
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,30,100,C,0.44,0.34,0.53,56,15,0.1,0.05,0.16,90,9,-0.34
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,50,100,AB,0.24,0.15,0.32,76,26,0.11,0.05,0.17,89,15,-0.13
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,75,100,AB,0.26,0.18,0.35,74,29,0.12,0.06,0.19,88,14,-0.14
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,100,100,AB,0.16,0.09,0.24,84,41,0.06,0.02,0.11,94,21,-0.1
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,5,100,C,0.75,0.66,0.83,25,5,0.11,0.05,0.17,89,1,-0.64
