model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,20,100,C,0.85,0.78,0.92,15,5,0.15,0.09,0.23,85,27,-0.7
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,30,100,C,0.78,0.7,0.86,22,8,0.27,0.18,0.3502,73,16,-0.51
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,50,100,C,0.55,0.46,0.65,45,13,0.07,0.02,0.12,93,24,-0.48
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,75,100,B,0.38,0.2898,0.4702,62,45,0.23,0.15,0.31,77,28,-0.15
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,5,100,C,0.86,0.79,0.92,14,10,0.18,0.11,0.26,82,13,-0.68
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,7,100,C,0.83,0.76,0.9,17,7,0.18,0.11,0.26,82,23,-0.65
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,10,100,C,0.8,0.72,0.8702,20,6,0.22,0.14,0.3,78,16,-0.58
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,15,100,C,0.74,0.65,0.83,26,9,0.32,0.23,0.41,68,10,-0.42
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,20,100,D,0.43,0.33,0.53,57,14,0.44,0.34,0.54,56,16,0.01
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,30,100,C,0.37,0.28,0.47,63,24,0.12,0.06,0.19,88,19,-0.25
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,50,100,D,0.13,0.07,0.1902,87,41,0.31,0.2298,0.4,69,34,0.18
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,5,100,C,0.89,0.83,0.95,11,4,0.37,0.28,0.4602,63,16,-0.52
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,7,100,C,0.79,0.71,0.86,21,8,0.28,0.19,0.37,72,15,-0.51
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,10,100,C,0.58,0.49,0.67,42,12,0.31,0.22,0.4,69,12,-0.27
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,15,100,A,0.35,0.26,0.45,65,13,0.32,0.23,0.41,68,19,-0.03
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,20,100,A,0.33,0.24,0.43,67,18,0.29,0.2,0.38,71,15,-0.04
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,30,100,D,0.11,0.05,0.18,89,41,0.2,0.13,0.28,80,27,0.09
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,5,100,C,0.63,0.53,0.7202,37,15,0.35,0.26,0.44,65,16,-0.28
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,7,100,AB,0.4,0.3,0.49,60,13,0.29,0.2,0.37,71,11,-0.11
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,10,100,D,0.29,0.2,0.38,71,15,0.34,0.25,0.43,66,22,0.05
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,15,100,D,0.23,0.15,0.31,77,28,0.29,0.21,0.38,71,12,0.06
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,20,100,D,0.08,0.03,0.14,92,30,0.3,0.21,0.39,70,23,0.22
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,15,5,100,AB,0.4,0.3,0.5,60,15,0.29,0.2,0.38,71,24,-0.11
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,15,7,100,D,0.17,0.1,0.24,83,23,0.33,0.24,0.43,67,31,0.16
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,15,10,100,D,0.13,0.07,0.2,87,35,0.28,0.2,0.37,72,32,0.15
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,15,15,100,D,0.04,0.01,0.08,96,34,0.41,0.3198,0.51,59,36,0.37
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,20,5,100,D,0.17,0.1,0.25,83,26,0.39,0.29,0.49,61,27,0.22
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,20,7,100,D,0.1,0.04,0.16,90,36,0.38,0.28,0.47,62,31,0.28
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,20,10,100,D,0.03,0.0,0.06,97,29,0.34,0.25,0.44,66,40,0.31
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,25,5,100,D,0.15,0.09,0.23,85,37,0.46,0.36,0.56,54,35,0.31
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,25,7,100,D,0.02,0.0,0.05,98,39,0.36,0.27,0.46,64,39,0.34
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,25,10,100,D,0.03,0.0,0.07,97,62,0.23,0.15,0.31,77,62,0.2
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,30,5,100,D,0.05,0.01,0.1,95,59,0.35,0.26,0.44,65,41,0.3
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,30,7,100,D,0.03,0.0,0.06,97,44,0.27,0.18,0.36,73,55,0.24
gemma-3-1b-it,google/gemma-3-1b-it,2,5,100,C,0.73,0.64,0.82,27,5,0.14,0.08,0.21,86,0,-0.59
gemma-3-1b-it,google/gemma-3-1b-it,2,7,100,C,0.82,0.74,0.89,18,7,0.1,0.04,0.16,90,2,-0.72
gemma-3-1b-it,google/gemma-3-1b-it,2,10,100,C,0.77,0.68,0.85,23,8,0.11,0.05,0.1702,89,6,-0.66
gemma-3-1b-it,google/gemma-3-1b-it,2,15,100,C,0.74,0.66,0.82,26,14,0.06,0.02,0.11,94,12,-0.68
gemma-3-1b-it,google/gemma-3-1b-it,2,20,100,C,0.8,0.72,0.87,20,10,0.07,0.03,0.12,93,19,-0.73
gemma-3-1b-it,google/gemma-3-1b-it,2,30,100,C,0.84,0.76,0.91,16,11,0.04,0.01,0.09,96,13,-0.8
gemma-3-1b-it,google/gemma-3-1b-it,2,50,100,C,0.67,0.58,0.76,33,26,0.01,0.0,0.03,99,31,-0.66
gemma-3-1b-it,google/gemma-3-1b-it,2,75,100,C,0.64,0.54,0.73,36,28,0.0,0.0,0.0,100,28,-0.64
gemma-3-1b-it,google/gemma-3-1b-it,2,100,100,C,0.64,0.55,0.73,36,25,0.0,0.0,0.0,100,31,-0.64
gemma-3-1b-it,google/gemma-3-1b-it,3,5,100,C,0.62,0.53,0.7102,38,7,0.06,0.02,0.11,94,1,-0.56
gemma-3-1b-it,google/gemma-3-1b-it,3,7,100,C,0.65,0.55,0.74,35,5,0.05,0.01,0.1,95,4,-0.6
gemma-3-1b-it,google/gemma-3-1b-it,3,10,100,C,0.6,0.51,0.7,40,12,0.06,0.02,0.1,94,2,-0.54
gemma-3-1b-it,google/gemma-3-1b-it,3,15,100,C,0.73,0.64,0.82,27,11,0.01,0.0,0.03,99,14,-0.72
gemma-3-1b-it,google/gemma-3-1b-it,3,20,100,C,0.7,0.61,0.78,30,11,0.02,0.0,0.05,98,6,-0.68
gemma-3-1b-it,google/gemma-3-1b-it,3,30,100,C,0.69,0.6,0.78,31,13,0.02,0.0,0.05,98,19,-0.67
gemma-3-1b-it,google/gemma-3-1b-it,3,50,100,C,0.55,0.45,0.65,45,31,0.0,0.0,0.0,100,18,-0.55
gemma-3-1b-it,google/gemma-3-1b-it,3,75,100,C,0.56,0.46,0.65,44,20,0.01,0.0,0.03,99,27,-0.55
gemma-3-1b-it,google/gemma-3-1b-it,5,5,100,C,0.64,0.55,0.73,36,2,0.03,0.0,0.07,97,3,-0.61
gemma-3-1b-it,google/gemma-3-1b-it,5,7,100,C,0.51,0.41,0.61,49,4,0.05,0.01,0.1,95,4,-0.46
gemma-3-1b-it,google/gemma-3-1b-it,5,10,100,C,0.56,0.46,0.66,44,9,0.02,0.0,0.05,98,7,-0.54
gemma-3-1b-it,google/gemma-3-1b-it,5,15,100,C,0.61,0.51,0.7,39,9,0.07,0.02,0.12,93,10,-0.54
gemma-3-1b-it,google/gemma-3-1b-it,5,20,100,C,0.51,0.41,0.61,49,33,0.02,0.0,0.05,98,24,-0.49
gemma-3-1b-it,google/gemma-3-1b-it,5,30,100,C,0.47,0.37,0.56,53,27,0.01,0.0,0.03,99,14,-0.46
gemma-3-1b-it,google/gemma-3-1b-it,5,50,100,C,0.39,0.29,0.49,61,22,0.0,0.0,0.0,100,14,-0.39
gemma-3-1b-it,google/gemma-3-1b-it,5,75,100,C,0.48,0.38,0.58,52,19,0.0,0.0,0.0,100,15,-0.48
gemma-3-1b-it,google/gemma-3-1b-it,7,5,100,C,0.62,0.53,0.72,38,3,0.08,0.03,0.14,92,2,-0.54
gemma-3-1b-it,google/gemma-3-1b-it,7,7,100,C,0.55,0.45,0.65,45,3,0.04,0.01,0.08,96,2,-0.51
gemma-3-1b-it,google/gemma-3-1b-it,7,10,100,C,0.54,0.44,0.63,46,10,0.09,0.04,0.1402,91,6,-0.45
gemma-3-1b-it,google/gemma-3-1b-it,7,15,100,C,0.56,0.46,0.66,44,20,0.0,0.0,0.0,100,13,-0.56
gemma-3-1b-it,google/gemma-3-1b-it,7,20,100,C,0.42,0.32,0.52,58,28,0.0,0.0,0.0,100,13,-0.42
gemma-3-1b-it,google/gemma-3-1b-it,7,30,100,C,0.31,0.22,0.4,69,20,0.0,0.0,0.0,100,20,-0.31
gemma-3-1b-it,google/gemma-3-1b-it,10,5,100,C,0.59,0.49,0.69,41,1,0.12,0.06,0.19,88,3,-0.47
gemma-3-1b-it,google/gemma-3-1b-it,10,7,100,C,0.65,0.55,0.74,35,11,0.06,0.02,0.11,94,5,-0.59
gemma-3-1b-it,google/gemma-3-1b-it,10,10,100,C,0.49,0.4,0.59,51,24,0.02,0.0,0.05,98,7,-0.47
gemma-3-1b-it,google/gemma-3-1b-it,10,15,100,C,0.45,0.36,0.55,55,23,0.0,0.0,0.0,100,10,-0.45
gemma-3-1b-it,google/gemma-3-1b-it,10,20,100,C,0.31,0.22,0.4,69,22,0.01,0.0,0.03,99,27,-0.3
gemma-3-1b-it,google/gemma-3-1b-it,10,30,100,C,0.34,0.25,0.44,66,24,0.01,0.0,0.03,99,12,-0.33
gemma-3-1b-it,google/gemma-3-1b-it,15,5,100,C,0.72,0.63,0.8,28,7,0.06,0.02,0.11,94,0,-0.66
gemma-3-1b-it,google/gemma-3-1b-it,15,7,100,C,0.64,0.54,0.73,36,13,0.02,0.0,0.05,98,6,-0.62
gemma-3-1b-it,google/gemma-3-1b-it,15,10,100,C,0.55,0.46,0.65,45,12,0.03,0.0,0.07,97,7,-0.52
gemma-3-1b-it,google/gemma-3-1b-it,15,15,100,C,0.43,0.34,0.53,57,19,0.01,0.0,0.03,99,16,-0.42
gemma-3-1b-it,google/gemma-3-1b-it,15,20,100,C,0.34,0.25,0.44,66,17,0.0,0.0,0.0,100,18,-0.34
gemma-3-1b-it,google/gemma-3-1b-it,15,30,100,C,0.47,0.37,0.57,53,31,0.0,0.0,0.0,100,34,-0.47
gemma-3-1b-it,google/gemma-3-1b-it,20,5,100,C,0.75,0.6698,0.83,25,13,0.01,0.0,0.03,99,7,-0.74
gemma-3-1b-it,google/gemma-3-1b-it,20,7,100,C,0.65,0.56,0.74,35,13,0.01,0.0,0.03,99,17,-0.64
gemma-3-1b-it,google/gemma-3-1b-it,20,10,100,C,0.37,0.28,0.47,63,16,0.02,0.0,0.05,98,15,-0.35
gemma-3-1b-it,google/gemma-3-1b-it,20,15,100,C,0.42,0.32,0.52,58,23,0.01,0.0,0.03,99,26,-0.41
gemma-3-1b-it,google/gemma-3-1b-it,25,5,100,C,0.69,0.6,0.78,31,9,0.0,0.0,0.0,100,8,-0.69
gemma-3-1b-it,google/gemma-3-1b-it,25,7,100,C,0.56,0.47,0.66,44,14,0.0,0.0,0.0,100,9,-0.56
gemma-3-1b-it,google/gemma-3-1b-it,25,10,100,C,0.53,0.43,0.63,47,20,0.02,0.0,0.05,98,12,-0.51
gemma-3-1b-it,google/gemma-3-1b-it,25,15,100,C,0.38,0.2898,0.47,62,36,0.0,0.0,0.0,100,32,-0.38
gemma-3-1b-it,google/gemma-3-1b-it,30,5,100,C,0.65,0.55,0.74,35,12,0.0,0.0,0.0,100,13,-0.65
gemma-3-1b-it,google/gemma-3-1b-it,30,7,100,C,0.53,0.44,0.63,47,16,0.05,0.01,0.1,95,19,-0.48
gemma-3-1b-it,google/gemma-3-1b-it,30,10,100,C,0.52,0.42,0.62,48,14,0.01,0.0,0.03,99,16,-0.51
gemma-3-1b-it,google/gemma-3-1b-it,30,15,100,C,0.54,0.44,0.6302,46,35,0.01,0.0,0.03,99,28,-0.53
gemma-3-270m-it,google/gemma-3-270m-it,2,5,100,D,0.05,0.01,0.1,95,77,0.07,0.0298,0.12,93,53,0.02
gemma-3-270m-it,google/gemma-3-270m-it,2,7,100,A,0.04,0.01,0.08,96,78,0.01,0.0,0.03,99,79,-0.03
gemma-3-270m-it,google/gemma-3-270m-it,2,10,100,A,0.02,0.0,0.05,98,92,0.0,0.0,0.0,100,91,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,2,15,100,A,0.02,0.0,0.05,98,92,0.0,0.0,0.0,100,93,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,3,5,100,AB,0.08,0.03,0.14,92,80,0.02,0.0,0.05,98,68,-0.06
gemma-3-270m-it,google/gemma-3-270m-it,3,7,100,A,0.03,0.0,0.07,97,93,0.01,0.0,0.03,99,85,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,3,10,100,A,0.01,0.0,0.03,99,97,0.0,0.0,0.0,100,90,-0.01
gemma-3-270m-it,google/gemma-3-270m-it,3,15,100,AB,0.09,0.04,0.15,91,87,0.02,0.0,0.05,98,73,-0.07
gemma-3-270m-it,google/gemma-3-270m-it,3,20,100,AB,0.12,0.06,0.18,88,83,0.0,0.0,0.0,100,89,-0.12
gemma-3-270m-it,google/gemma-3-270m-it,5,5,100,D,0.02,0.0,0.05,98,94,0.03,0.0,0.07,97,89,0.01
gemma-3-270m-it,google/gemma-3-270m-it,5,7,100,A,0.04,0.01,0.09,96,92,0.02,0.0,0.05,98,82,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,5,10,100,AB,0.1,0.05,0.16,90,83,0.01,0.0,0.03,99,91,-0.09
gemma-3-270m-it,google/gemma-3-270m-it,5,15,100,AB,0.15,0.08,0.22,85,84,0.02,0.0,0.05,98,82,-0.13
gemma-3-270m-it,google/gemma-3-270m-it,5,20,100,C,0.36,0.27,0.46,64,50,0.04,0.01,0.08,96,65,-0.32
gemma-3-270m-it,google/gemma-3-270m-it,5,30,100,C,0.44,0.34,0.54,56,53,0.01,0.0,0.03,99,63,-0.43
gemma-3-270m-it,google/gemma-3-270m-it,5,50,100,B,0.25,0.17,0.34,75,64,0.02,0.0,0.05,98,67,-0.23
gemma-3-270m-it,google/gemma-3-270m-it,5,75,100,B,0.19,0.12,0.26,81,66,0.01,0.0,0.03,99,63,-0.18
gemma-3-270m-it,google/gemma-3-270m-it,7,5,100,AB,0.14,0.08,0.21,86,83,0.04,0.01,0.08,96,77,-0.1
gemma-3-270m-it,google/gemma-3-270m-it,7,7,100,A,0.06,0.02,0.11,94,91,0.06,0.02,0.11,94,74,0.0
gemma-3-270m-it,google/gemma-3-270m-it,7,10,100,AB,0.1,0.04,0.16,90,86,0.01,0.0,0.03,99,87,-0.09
gemma-3-270m-it,google/gemma-3-270m-it,7,15,100,C,0.33,0.24,0.42,67,60,0.02,0.0,0.05,98,57,-0.31
gemma-3-270m-it,google/gemma-3-270m-it,7,20,100,C,0.31,0.22,0.4,69,62,0.01,0.0,0.03,99,61,-0.3
gemma-3-270m-it,google/gemma-3-270m-it,7,30,100,C,0.47,0.37,0.5702,53,43,0.04,0.01,0.08,96,56,-0.43
gemma-3-270m-it,google/gemma-3-270m-it,7,50,100,C,0.29,0.2,0.38,71,61,0.0,0.0,0.0,100,71,-0.29
gemma-3-270m-it,google/gemma-3-270m-it,10,5,100,AB,0.09,0.04,0.15,91,84,0.02,0.0,0.05,98,85,-0.07
gemma-3-270m-it,google/gemma-3-270m-it,10,7,100,B,0.22,0.14,0.3,78,75,0.05,0.01,0.1,95,86,-0.17
gemma-3-270m-it,google/gemma-3-270m-it,10,10,100,B,0.3,0.21,0.4,70,52,0.08,0.03,0.13,92,63,-0.22
gemma-3-270m-it,google/gemma-3-270m-it,10,15,100,C,0.35,0.2598,0.44,65,61,0.03,0.0,0.07,97,66,-0.32
gemma-3-270m-it,google/gemma-3-270m-it,10,20,100,C,0.39,0.3,0.48,61,50,0.02,0.0,0.05,98,60,-0.37
gemma-3-270m-it,google/gemma-3-270m-it,10,30,100,C,0.32,0.23,0.41,68,56,0.0,0.0,0.0,100,56,-0.32
gemma-3-270m-it,google/gemma-3-270m-it,10,50,100,B,0.24,0.16,0.33,76,66,0.03,0.0,0.07,97,70,-0.21
gemma-3-270m-it,google/gemma-3-270m-it,10,75,100,AB,0.1,0.05,0.16,90,77,0.0,0.0,0.0,100,77,-0.1
gemma-3-270m-it,google/gemma-3-270m-it,10,100,100,A,0.01,0.0,0.03,99,87,0.01,0.0,0.03,99,91,0.0
gemma-3-270m-it,google/gemma-3-270m-it,15,5,100,B,0.2,0.12,0.28,80,71,0.01,0.0,0.03,99,75,-0.19
gemma-3-270m-it,google/gemma-3-270m-it,15,7,100,C,0.34,0.25,0.43,66,52,0.06,0.02,0.11,94,64,-0.28
gemma-3-270m-it,google/gemma-3-270m-it,15,10,100,C,0.35,0.26,0.45,65,52,0.07,0.03,0.12,93,59,-0.28
gemma-3-270m-it,google/gemma-3-270m-it,15,15,100,C,0.34,0.25,0.43,66,58,0.02,0.0,0.05,98,51,-0.32
gemma-3-270m-it,google/gemma-3-270m-it,15,20,100,C,0.3,0.21,0.39,70,63,0.01,0.0,0.03,99,65,-0.29
gemma-3-270m-it,google/gemma-3-270m-it,15,30,100,B,0.2,0.13,0.28,80,71,0.03,0.0,0.07,97,72,-0.17
gemma-3-270m-it,google/gemma-3-270m-it,15,50,100,AB,0.05,0.01,0.0902,95,85,0.0,0.0,0.0,100,83,-0.05
gemma-3-270m-it,google/gemma-3-270m-it,15,75,100,A,0.01,0.0,0.03,99,94,0.0,0.0,0.0,100,97,-0.01
gemma-3-270m-it,google/gemma-3-270m-it,20,5,100,C,0.36,0.27,0.46,64,53,0.05,0.01,0.1,95,55,-0.31
gemma-3-270m-it,google/gemma-3-270m-it,20,7,100,B,0.25,0.17,0.33,75,67,0.07,0.02,0.12,93,64,-0.18
gemma-3-270m-it,google/gemma-3-270m-it,20,10,100,C,0.32,0.23,0.41,68,52,0.05,0.01,0.1,95,60,-0.27
gemma-3-270m-it,google/gemma-3-270m-it,20,15,100,B,0.28,0.19,0.37,72,65,0.05,0.01,0.09,95,61,-0.23
gemma-3-270m-it,google/gemma-3-270m-it,20,20,100,B,0.25,0.17,0.34,75,69,0.02,0.0,0.05,98,78,-0.23
gemma-3-270m-it,google/gemma-3-270m-it,20,30,100,AB,0.09,0.04,0.15,91,86,0.02,0.0,0.05,98,69,-0.07
gemma-3-270m-it,google/gemma-3-270m-it,20,50,100,D,0.01,0.0,0.03,99,95,0.02,0.0,0.05,98,92,0.01
gemma-3-270m-it,google/gemma-3-270m-it,20,75,100,A,0.03,0.0,0.07,97,84,0.03,0.0,0.07,97,84,0.0
gemma-3-270m-it,google/gemma-3-270m-it,25,5,100,B,0.31,0.22,0.4002,69,59,0.1,0.05,0.16,90,59,-0.21
gemma-3-270m-it,google/gemma-3-270m-it,25,7,100,C,0.32,0.23,0.41,68,56,0.05,0.01,0.1,95,61,-0.27
gemma-3-270m-it,google/gemma-3-270m-it,25,10,100,B,0.24,0.16,0.33,76,65,0.02,0.0,0.05,98,50,-0.22
gemma-3-270m-it,google/gemma-3-270m-it,25,15,100,B,0.18,0.11,0.26,82,76,0.02,0.0,0.05,98,63,-0.16
gemma-3-270m-it,google/gemma-3-270m-it,25,20,100,AB,0.13,0.07,0.2,87,80,0.08,0.03,0.14,92,76,-0.05
gemma-3-270m-it,google/gemma-3-270m-it,25,30,100,A,0.03,0.0,0.07,97,94,0.01,0.0,0.03,99,88,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,25,50,100,AB,0.09,0.04,0.15,91,80,0.03,0.0,0.07,97,76,-0.06
gemma-3-270m-it,google/gemma-3-270m-it,30,5,100,C,0.33,0.24,0.42,67,53,0.07,0.02,0.12,93,61,-0.26
gemma-3-270m-it,google/gemma-3-270m-it,30,7,100,C,0.34,0.25,0.43,66,56,0.06,0.02,0.11,94,52,-0.28
gemma-3-270m-it,google/gemma-3-270m-it,30,10,100,B,0.28,0.19,0.37,72,69,0.05,0.01,0.1,95,58,-0.23
gemma-3-270m-it,google/gemma-3-270m-it,30,15,100,A,0.12,0.06,0.19,88,84,0.1,0.04,0.16,90,75,-0.02
gemma-3-270m-it,google/gemma-3-270m-it,30,20,100,D,0.05,0.01,0.09,95,93,0.1,0.04,0.16,90,65,0.05
gemma-3-270m-it,google/gemma-3-270m-it,30,30,100,A,0.03,0.0,0.07,97,88,0.02,0.0,0.05,98,81,-0.01
gemma-3-270m-it,google/gemma-3-270m-it,30,50,100,D,0.02,0.0,0.05,98,85,0.04,0.01,0.08,96,79,0.02
gemma-3-4b-it,google/gemma-3-4b-it,2,5,100,AB,1.0,1.0,1.0,0,0,0.87,0.8,0.93,13,3,-0.13
gemma-3-4b-it,google/gemma-3-4b-it,2,7,100,C,0.99,0.97,1.0,1,0,0.64,0.55,0.73,36,6,-0.35
gemma-3-4b-it,google/gemma-3-4b-it,2,10,100,C,1.0,1.0,1.0,0,0,0.66,0.57,0.75,34,9,-0.34
gemma-3-4b-it,google/gemma-3-4b-it,2,15,100,C,1.0,1.0,1.0,0,0,0.7,0.6,0.79,30,7,-0.3
gemma-3-4b-it,google/gemma-3-4b-it,2,20,100,C,1.0,1.0,1.0,0,0,0.67,0.58,0.76,33,16,-0.33
gemma-3-4b-it,google/gemma-3-4b-it,2,30,100,C,1.0,1.0,1.0,0,0,0.62,0.53,0.71,38,16,-0.38
gemma-3-4b-it,google/gemma-3-4b-it,2,50,100,C,1.0,1.0,1.0,0,0,0.54,0.44,0.63,46,16,-0.46
gemma-3-4b-it,google/gemma-3-4b-it,2,75,100,C,0.99,0.97,1.0,1,0,0.45,0.35,0.55,55,21,-0.54
gemma-3-4b-it,google/gemma-3-4b-it,2,100,100,C,0.99,0.97,1.0,1,0,0.38,0.29,0.47,62,12,-0.61
gemma-3-4b-it,google/gemma-3-4b-it,3,5,100,AB,1.0,1.0,1.0,0,0,0.87,0.8,0.94,13,2,-0.13
gemma-3-4b-it,google/gemma-3-4b-it,3,7,100,C,0.99,0.97,1.0,1,0,0.74,0.65,0.82,26,2,-0.25
gemma-3-4b-it,google/gemma-3-4b-it,3,10,100,B,0.99,0.97,1.0,1,0,0.77,0.69,0.85,23,3,-0.22
gemma-3-4b-it,google/gemma-3-4b-it,3,15,100,B,1.0,1.0,1.0,0,0,0.84,0.77,0.91,16,0,-0.16
gemma-3-4b-it,google/gemma-3-4b-it,3,20,100,C,1.0,1.0,1.0,0,0,0.67,0.57,0.76,33,10,-0.33
gemma-3-4b-it,google/gemma-3-4b-it,3,30,100,C,0.98,0.95,1.0,2,1,0.61,0.52,0.7,39,9,-0.37
gemma-3-4b-it,google/gemma-3-4b-it,3,50,100,C,1.0,1.0,1.0,0,0,0.57,0.47,0.67,43,11,-0.43
gemma-3-4b-it,google/gemma-3-4b-it,3,75,100,C,0.97,0.94,1.0,3,2,0.6,0.5,0.7,40,7,-0.37
gemma-3-4b-it,google/gemma-3-4b-it,3,100,100,C,0.98,0.95,1.0,2,2,0.52,0.42,0.62,48,12,-0.46
gemma-3-4b-it,google/gemma-3-4b-it,5,5,100,AB,0.98,0.95,1.0,2,0,0.86,0.79,0.93,14,0,-0.12
gemma-3-4b-it,google/gemma-3-4b-it,5,7,100,B,1.0,1.0,1.0,0,0,0.76,0.67,0.84,24,2,-0.24
gemma-3-4b-it,google/gemma-3-4b-it,5,10,100,C,0.99,0.97,1.0,1,0,0.69,0.6,0.78,31,8,-0.3
gemma-3-4b-it,google/gemma-3-4b-it,5,15,100,C,1.0,1.0,1.0,0,0,0.72,0.6398,0.8,28,6,-0.28
gemma-3-4b-it,google/gemma-3-4b-it,5,20,100,B,0.99,0.97,1.0,1,1,0.82,0.7498,0.89,18,6,-0.17
gemma-3-4b-it,google/gemma-3-4b-it,5,30,100,C,1.0,1.0,1.0,0,0,0.71,0.62,0.8,29,7,-0.29
gemma-3-4b-it,google/gemma-3-4b-it,5,50,100,C,1.0,1.0,1.0,0,0,0.66,0.57,0.75,34,8,-0.34
gemma-3-4b-it,google/gemma-3-4b-it,5,75,100,C,0.97,0.93,1.0,3,0,0.53,0.44,0.62,47,12,-0.44
gemma-3-4b-it,google/gemma-3-4b-it,5,100,100,C,0.96,0.92,0.99,4,2,0.4,0.3,0.5,60,8,-0.56
gemma-3-4b-it,google/gemma-3-4b-it,7,5,100,B,1.0,1.0,1.0,0,0,0.82,0.74,0.89,18,1,-0.18
gemma-3-4b-it,google/gemma-3-4b-it,7,7,100,B,1.0,1.0,1.0,0,0,0.85,0.7798,0.91,15,2,-0.15
gemma-3-4b-it,google/gemma-3-4b-it,7,10,100,B,0.99,0.97,1.0,1,0,0.78,0.69,0.87,22,5,-0.21
gemma-3-4b-it,google/gemma-3-4b-it,7,15,100,B,0.99,0.97,1.0,1,1,0.78,0.7,0.86,22,6,-0.21
gemma-3-4b-it,google/gemma-3-4b-it,7,20,100,C,0.99,0.97,1.0,1,1,0.71,0.62,0.79,29,6,-0.28
gemma-3-4b-it,google/gemma-3-4b-it,7,30,100,C,0.95,0.91,0.99,5,1,0.52,0.42,0.62,48,4,-0.43
gemma-3-4b-it,google/gemma-3-4b-it,7,50,100,C,0.95,0.9,0.99,5,2,0.5,0.4,0.6,50,11,-0.45
gemma-3-4b-it,google/gemma-3-4b-it,7,75,100,C,0.93,0.88,0.97,7,2,0.31,0.22,0.4,69,17,-0.62
gemma-3-4b-it,google/gemma-3-4b-it,7,100,100,C,0.94,0.9,0.98,6,1,0.17,0.1,0.25,83,7,-0.77
