model,model_family,variant,dataset,num_keys,num_updates,condition,target,layer,p_target,behavioral_acc,ci_lower,ci_upper,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,2,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,3,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,4,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,5,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,6,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,7,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,8,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,9,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,10,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,11,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,12,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,13,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,14,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,15,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,16,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,17,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,18,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,19,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,20,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,21,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,22,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,23,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,24,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,25,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,26,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,27,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,28,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,29,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,30,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,31,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,32,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,33,0.98,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
