theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,15,CVQ,semantic,last,0.23,,0.16,0.3102,,100,,1,0.2323,"{""correct"": 23, ""garbage"": 1, ""intermediate_intrusion"": 76}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,15,FVQ,semantic,first,0.92,,0.86,0.97,,100,,2,0.9388,"{""correct"": 92, ""garbage"": 2, ""intermediate_intrusion"": 6}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,20,CVQ,semantic,last,0.22,,0.14,0.31,,100,,3,0.2268,"{""correct"": 22, ""garbage"": 3, ""intermediate_intrusion"": 74, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,20,FVQ,semantic,first,0.96,,0.92,0.99,,100,,1,0.9697,"{""correct"": 96, ""garbage"": 1, ""intermediate_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,30,CVQ,semantic,last,0.18,,0.11,0.25,,100,,7,0.1935,"{""correct"": 18, ""garbage"": 7, ""intermediate_intrusion"": 74, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,30,FVQ,semantic,first,0.95,,0.9,0.99,,100,,0,0.95,"{""correct"": 95, ""intermediate_intrusion"": 5}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,50,CVQ,semantic,last,0.12,,0.06,0.18,,100,,15,0.1412,"{""correct"": 12, ""garbage"": 15, ""intermediate_intrusion"": 73}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,50,FVQ,semantic,first,0.87,,0.8,0.93,,100,,3,0.8969,"{""correct"": 87, ""garbage"": 3, ""intermediate_intrusion"": 10}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,75,CVQ,semantic,last,0.12,,0.06,0.19,,100,,15,0.1412,"{""correct"": 12, ""garbage"": 15, ""intermediate_intrusion"": 73}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,75,FVQ,semantic,first,0.92,,0.86,0.97,,100,,5,0.9684,"{""correct"": 92, ""garbage"": 5, ""intermediate_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
