state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
lora,25,15,IVQ_d90,33,0.55,0.8840277777777779,0.81875,0.95,0.3333,120,120,80,40
lora,25,15,IVQ_d90,34,0.5390625,0.8829861111111112,0.790625,0.94375,0.3333,120,120,80,40
lora,25,15,IVQ_d90,35,0.546875,0.8774305555555555,0.7609375,0.921875,0.3333,120,120,80,40
lora,25,20,FVQ,0,,0.5972222222222222,,0.5527777777777778,1.0,60,60,0,60
lora,25,20,FVQ,1,,0.5402777777777777,,0.5805555555555555,1.0,60,60,0,60
lora,25,20,FVQ,2,,0.5402777777777777,,0.5638888888888889,1.0,60,60,0,60
lora,25,20,FVQ,3,,0.5083333333333334,,0.5791666666666667,1.0,60,60,0,60
lora,25,20,FVQ,4,,0.55,,0.5402777777777777,1.0,60,60,0,60
lora,25,20,FVQ,5,,0.5888888888888889,,0.5583333333333333,1.0,60,60,0,60
lora,25,20,FVQ,6,,0.5722222222222222,,0.5361111111111112,1.0,60,60,0,60
lora,25,20,FVQ,7,,0.5263888888888888,,0.5097222222222222,1.0,60,60,0,60
lora,25,20,FVQ,8,,0.548611111111111,,0.4958333333333334,1.0,60,60,0,60
lora,25,20,FVQ,9,,0.5625000000000001,,0.5305555555555557,1.0,60,60,0,60
lora,25,20,FVQ,10,,0.5416666666666667,,0.47638888888888886,1.0,60,60,0,60
lora,25,20,FVQ,11,,0.5347222222222221,,0.538888888888889,1.0,60,60,0,60
lora,25,20,FVQ,12,,0.5611111111111111,,0.5111111111111111,1.0,60,60,0,60
lora,25,20,FVQ,13,,0.5569444444444445,,0.5125,1.0,60,60,0,60
lora,25,20,FVQ,14,,0.5027777777777778,,0.5416666666666667,1.0,60,60,0,60
lora,25,20,FVQ,15,,0.513888888888889,,0.5319444444444444,1.0,60,60,0,60
lora,25,20,FVQ,16,,0.5805555555555555,,0.5819444444444445,1.0,60,60,0,60
lora,25,20,FVQ,17,,0.575,,0.5555555555555556,1.0,60,60,0,60
lora,25,20,FVQ,18,,0.548611111111111,,0.5375,1.0,60,60,0,60
lora,25,20,FVQ,19,,0.5361111111111112,,0.5333333333333332,1.0,60,60,0,60
lora,25,20,FVQ,20,,0.49722222222222223,,0.5069444444444444,1.0,60,60,0,60
lora,25,20,FVQ,21,,0.5569444444444445,,0.5458333333333334,1.0,60,60,0,60
lora,25,20,FVQ,22,,0.5861111111111111,,0.5361111111111111,1.0,60,60,0,60
lora,25,20,FVQ,23,,0.5875,,0.5347222222222222,1.0,60,60,0,60
lora,25,20,FVQ,24,,0.5638888888888889,,0.5416666666666667,1.0,60,60,0,60
lora,25,20,FVQ,25,,0.5541666666666667,,0.5472222222222223,1.0,60,60,0,60
lora,25,20,FVQ,26,,0.5680555555555555,,0.5597222222222222,1.0,60,60,0,60
lora,25,20,FVQ,27,,0.5666666666666668,,0.6166666666666667,1.0,60,60,0,60
lora,25,20,FVQ,28,,0.5263888888888888,,0.55,1.0,60,60,0,60
lora,25,20,FVQ,29,,0.4833333333333334,,0.5611111111111111,1.0,60,60,0,60
lora,25,20,FVQ,30,,0.6041666666666667,,0.625,1.0,60,60,0,60
lora,25,20,FVQ,31,,0.7986111111111109,,0.7569444444444444,1.0,60,60,0,60
lora,25,20,FVQ,32,,0.9833333333333334,,0.9888888888888889,1.0,60,60,0,60
lora,25,20,FVQ,33,,1.0,,1.0,1.0,60,60,0,60
lora,25,20,FVQ,34,,1.0,,1.0,1.0,60,60,0,60
lora,25,20,FVQ,35,,1.0,,1.0,1.0,60,60,0,60
lora,25,20,CVQ,0,0.29824732229795525,0.46075,,0.49321705701970214,0.9825,400,400,7,393
lora,25,20,CVQ,1,0.3481824083089906,0.47640625000000003,,0.5059395773174383,0.9825,400,400,7,393
lora,25,20,CVQ,2,0.44448231093800705,0.46293750000000006,,0.4950163975770079,0.9825,400,400,7,393
lora,25,20,CVQ,3,0.34737098344693285,0.44528124999999996,,0.49335413277828816,0.9825,400,400,7,393
lora,25,20,CVQ,4,0.4299578059071729,0.47809375000000004,,0.4850227509731041,0.9825,400,400,7,393
lora,25,20,CVQ,5,0.41489776046738075,0.46315624999999994,,0.4886334362244288,0.9825,400,400,7,393
lora,25,20,CVQ,6,0.39435248296007785,0.4751250000000001,,0.5205898439841472,0.9825,400,400,7,393
lora,25,20,CVQ,7,0.3972736124634858,0.47106250000000005,,0.5072158503906374,0.9825,400,400,7,393
lora,25,20,CVQ,8,0.49386562804284323,0.4766875,,0.4867644200548198,0.9825,400,400,7,393
lora,25,20,CVQ,9,0.48508601103537813,0.44349999999999995,,0.5110984986032746,0.9825,400,400,7,393
lora,25,20,CVQ,10,0.5601103537812399,0.46634374999999995,,0.49838497219032885,0.9825,400,400,7,393
lora,25,20,CVQ,11,0.6198474521259332,0.45493750000000005,,0.49129180734261285,0.9825,400,400,7,393
lora,25,20,CVQ,12,0.5844693281402142,0.45584375,,0.5281630531528846,0.9825,400,400,7,393
lora,25,20,CVQ,13,0.5629016553067185,0.459875,,0.47850188689859346,0.9825,400,400,7,393
lora,25,20,CVQ,14,0.5173644920480364,0.4544687499999999,,0.513473108047449,0.9825,400,400,7,393
lora,25,20,CVQ,15,0.5806231742940604,0.47228125,,0.49093455391016183,0.9825,400,400,7,393
lora,25,20,CVQ,16,0.5041220382992535,0.4805625,,0.5125421106064001,0.9825,400,400,7,393
lora,25,20,CVQ,17,0.4812723141837066,0.47912499999999997,,0.53455077086152,0.9825,400,400,7,393
lora,25,20,CVQ,18,0.6234664070107108,0.45640624999999996,,0.5101864238744422,0.9825,400,400,7,393
lora,25,20,CVQ,19,0.696884128529698,0.46346875,,0.49920844859464164,0.9825,400,400,7,393
lora,25,20,CVQ,20,0.5902304446608244,0.46659375000000003,,0.48088323583066783,0.9825,400,400,7,393
lora,25,20,CVQ,21,0.6872119441739695,0.45543750000000005,,0.49766857963830846,0.9825,400,400,7,393
lora,25,20,CVQ,22,0.7088445309964297,0.448125,,0.5082824645530326,0.9825,400,400,7,393
lora,25,20,CVQ,23,0.7416910094125284,0.45425000000000004,,0.509193204025763,0.9825,400,400,7,393
lora,25,20,CVQ,24,0.7747971437844855,0.47815624999999995,,0.47266866128118645,0.9825,400,400,7,393
lora,25,20,CVQ,25,0.7874553716325868,0.47868750000000004,,0.49145266488147926,0.9825,400,400,7,393
lora,25,20,CVQ,26,0.8064264849074976,0.45834374999999994,,0.473609792973677,0.9825,400,400,7,393
lora,25,20,CVQ,27,0.8205290490100617,0.45459375,,0.4949043414100789,0.9825,400,400,7,393
lora,25,20,CVQ,28,0.7594774423888347,0.49259375,,0.5239561273296005,0.9825,400,400,7,393
lora,25,20,CVQ,29,0.7492534891269068,0.50171875,,0.5651622833922267,0.9825,400,400,7,393
lora,25,20,CVQ,30,0.7732554365465758,0.5728125000000001,,0.6004097208329766,0.9825,400,400,7,393
lora,25,20,CVQ,31,0.7337715027588445,0.8892187500000001,,0.9134940454952041,0.9825,400,400,7,393
lora,25,20,CVQ,32,0.8342096721843557,0.9891875000000001,,0.9896431057962124,0.9825,400,400,7,393
lora,25,20,CVQ,33,0.7945309964297306,0.9960625000000001,,0.9981682024482117,0.9825,400,400,7,393
lora,25,20,CVQ,34,0.7791788380395975,0.99671875,,0.9991831340351671,0.9825,400,400,7,393
lora,25,20,CVQ,35,0.7029373580006492,0.99846875,,0.9991814801084764,0.9825,400,400,7,393
lora,25,20,IVQ_d10,0,0.7628205128205128,0.5124375,,0.5122287968441814,0.975,400,400,10,390
lora,25,20,IVQ_d10,1,0.7217948717948718,0.5081562500000001,,0.47846811308349774,0.975,400,400,10,390
lora,25,20,IVQ_d10,2,0.7576923076923077,0.5338749999999999,,0.4907297830374754,0.975,400,400,10,390
lora,25,20,IVQ_d10,3,0.7833333333333333,0.54346875,,0.48497698882314266,0.975,400,400,10,390
lora,25,20,IVQ_d10,4,0.7525641025641026,0.52109375,,0.48688362919132155,0.975,400,400,10,390
lora,25,20,IVQ_d10,5,0.7128205128205127,0.5218125,,0.4683760683760684,0.975,400,400,10,390
lora,25,20,IVQ_d10,6,0.7243589743589745,0.5251875,,0.4970414201183432,0.975,400,400,10,390
lora,25,20,IVQ_d10,7,0.6935897435897436,0.53828125,,0.47117028270874417,0.975,400,400,10,390
lora,25,20,IVQ_d10,8,0.6846153846153846,0.5335312499999999,,0.4993096646942801,0.975,400,400,10,390
lora,25,20,IVQ_d10,9,0.7307692307692308,0.52971875,,0.4918474687705457,0.975,400,400,10,390
lora,25,20,IVQ_d10,10,0.6923076923076923,0.55546875,,0.4719921104536489,0.975,400,400,10,390
lora,25,20,IVQ_d10,11,0.6858974358974359,0.5226875,,0.45578566732412884,0.975,400,400,10,390
lora,25,20,IVQ_d10,12,0.6974358974358974,0.5370625,,0.49043392504930966,0.975,400,400,10,390
lora,25,20,IVQ_d10,13,0.7730769230769232,0.50284375,,0.484319526627219,0.975,400,400,10,390
lora,25,20,IVQ_d10,14,0.7435897435897435,0.5314687499999999,,0.4977646285338594,0.975,400,400,10,390
lora,25,20,IVQ_d10,15,0.8038461538461539,0.53740625,,0.4918145956607495,0.975,400,400,10,390
lora,25,20,IVQ_d10,16,0.826923076923077,0.521875,,0.5137738330046022,0.975,400,400,10,390
lora,25,20,IVQ_d10,17,0.876923076923077,0.5346249999999999,,0.4770216962524655,0.975,400,400,10,390
