theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,FVQ,ordinal,first,1.0,,,,,100,,,,,,,raw,lora_intervention/experiments/gemma_results/block/results_K2N30.json,behavioural accuracy only; per-layer P(v_last) / P(v_first) curves remain in the source file
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,34,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,36,0.8482142857142857,,0.7808953109939074,0.915533260434664,0.0673189747203783,112,95,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,38,0.828125,,0.762341374928522,0.893908625071478,0.06578362507147795,128,106,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,40,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,42,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,44,0.8392857142857143,,0.7705679479941229,0.9080034805773057,0.06871776629159145,112,94,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,46,0.7159090909090909,,0.6496779698880044,0.7821402119301775,0.06623112102108651,176,126,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,48,0.8125,,0.7446590062829901,0.8803409937170099,0.06784099371700994,128,104,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,50,0.8125,,0.7446590062829901,0.8803409937170099,0.06784099371700994,128,104,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,52,0.75625,,0.6899666350837709,0.8225333649162291,0.06628336491622912,160,121,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
