model,arm,num_keys,num_updates,position,position_kind,n_correct,n_trials,accuracy,wilson_lo,wilson_hi
sonnet,nocot,10,20,16,ordinal,4,96,0.0417,0.0163,0.1023
sonnet,nocot,10,20,13,ordinal,4,96,0.0417,0.0163,0.1023
sonnet,nocot,10,20,10,ordinal,8,120,0.0667,0.0342,0.1261
sonnet,nocot,10,20,11,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,20,8,ordinal,7,112,0.0625,0.0306,0.1234
sonnet,nocot,10,20,19,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,20,last,recency,63,64,0.9844,0.9167,0.9972
sonnet,nocot,10,20,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,nocot,10,20,2,ordinal,98,104,0.9423,0.8798,0.9733
sonnet,nocot,10,20,20,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,20,3,ordinal,85,200,0.4250,0.3585,0.4943
sonnet,nocot,10,20,4,ordinal,34,200,0.1700,0.1243,0.2282
sonnet,nocot,10,20,14,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,20,6,ordinal,8,120,0.0667,0.0342,0.1261
sonnet,nocot,10,20,7,ordinal,5,96,0.0521,0.0224,0.1162
sonnet,nocot,5,50,6,ordinal,22,176,0.1250,0.0840,0.1820
sonnet,nocot,5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,nocot,5,50,4,ordinal,40,200,0.2000,0.1505,0.2609
sonnet,nocot,5,50,5,ordinal,29,200,0.1450,0.1029,0.2005
sonnet,nocot,5,50,3,ordinal,65,200,0.3250,0.2639,0.3927
sonnet,nocot,5,50,14,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,2,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,nocot,5,50,last,recency,137,152,0.9013,0.8436,0.9393
sonnet,nocot,5,50,49,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,7,ordinal,12,136,0.0882,0.0512,0.1479
sonnet,nocot,5,50,31,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,50,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,43,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,26,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,20,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,37,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,5,50,8,ordinal,12,136,0.0882,0.0512,0.1479
sonnet,nocot,10,50,4,ordinal,47,200,0.2350,0.1816,0.2984
sonnet,nocot,10,50,1,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,nocot,10,50,5,ordinal,36,200,0.1800,0.1329,0.2391
sonnet,nocot,10,50,37,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,50,43,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,50,26,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,50,14,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,50,7,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,50,3,ordinal,86,200,0.4300,0.3633,0.4993
sonnet,nocot,10,50,6,ordinal,22,176,0.1250,0.0840,0.1820
sonnet,nocot,10,50,last,recency,144,160,0.9000,0.8437,0.9375
sonnet,nocot,10,50,50,ordinal,1,64,0.0156,0.0028,0.0833
sonnet,nocot,10,50,2,ordinal,112,120,0.9333,0.8739,0.9658
sonnet,nocot,10,50,8,ordinal,3,88,0.0341,0.0117,0.0955
sonnet,nocot,10,50,20,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,50,31,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,nocot,10,50,49,ordinal,0,56,0.0000,0.0000,0.0642
sonnet,cot_thinking,5,10,2,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,6,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,last,recency,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,7,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,10,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,8,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,10,9,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,10,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,6,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,9,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,last,recency,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,7,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,2,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,10,8,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,6,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,14,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,10,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,8,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,11,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,16,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,2,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,20,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,7,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,17,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,13,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,20,last,recency,70,72,0.9722,0.9043,0.9923
sonnet,cot_thinking,5,20,19,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,10,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,cot_thinking,10,20,11,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,8,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,6,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,14,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,2,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,7,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,13,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,19,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,16,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,17,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,20,20,ordinal,70,72,0.9722,0.9043,0.9923
sonnet,cot_thinking,10,20,last,recency,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,8,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,6,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,7,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,14,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,20,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,2,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,26,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,cot_thinking,5,50,31,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,37,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,5,50,last,recency,63,64,0.9844,0.9167,0.9972
sonnet,cot_thinking,5,50,50,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,cot_thinking,5,50,49,ordinal,70,72,0.9722,0.9043,0.9923
sonnet,cot_thinking,5,50,43,ordinal,63,64,0.9844,0.9167,0.9972
sonnet,cot_thinking,10,50,3,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,50,5,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,50,4,ordinal,56,56,1.0000,0.9358,1.0000
sonnet,cot_thinking,10,50,7,ordinal,56,56,1.0000,0.9358,1.0000
