model,dataset,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
Qwen2.5-0.5B-Instruct,arbitrary_single,10,30,0.29,0.04,0.25,0.2,0.38,0.01,0.08,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,50,0.23,0.01,0.22,0.15,0.31,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,75,0.09,0.01,0.08,0.04,0.15,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,5,0.47,0.18,0.29,0.37,0.57,0.11,0.25,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,7,0.54,0.12,0.42,0.44,0.64,0.06,0.19,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,10,0.36,0.06,0.3,0.27,0.45,0.02,0.11,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,15,0.42,0.04,0.38,0.32,0.52,0.01,0.08,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,20,0.3,0.03,0.27,0.22,0.39,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,30,0.26,0.01,0.25,0.18,0.34,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,50,0.11,0.0,0.11,0.05,0.18,0.0,0.0,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,75,0.12,0.03,0.09,0.06,0.19,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,15,100,0.06,0.03,0.03,0.02,0.11,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,5,0.42,0.1,0.32,0.32,0.51,0.04,0.16,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,7,0.39,0.09,0.3,0.29,0.49,0.04,0.15,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,10,0.37,0.03,0.34,0.27,0.47,0.0,0.06,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,15,0.29,0.02,0.27,0.21,0.38,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,20,0.25,0.02,0.23,0.17,0.34,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,30,0.11,0.01,0.1,0.05,0.17,0.0,0.0302,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,50,0.03,0.04,-0.01,0.0,0.07,0.01,0.08,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,75,0.04,0.05,-0.01,0.01,0.08,0.01,0.1,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,20,100,0.24,0.07,0.17,0.15,0.32,0.02,0.13,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,5,0.37,0.13,0.24,0.28,0.47,0.07,0.2,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,7,0.29,0.06,0.23,0.2,0.38,0.02,0.11,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,10,0.33,0.03,0.3,0.24,0.42,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,15,0.11,0.03,0.08,0.05,0.18,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,20,0.21,0.07,0.14,0.13,0.29,0.02,0.12,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,30,0.08,0.0,0.08,0.03,0.14,0.0,0.0,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,50,0.11,0.02,0.09,0.05,0.18,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,25,75,0.16,0.03,0.13,0.1,0.24,0.0,0.07,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,5,0.31,0.06,0.25,0.22,0.4,0.02,0.11,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,7,0.26,0.02,0.24,0.18,0.35,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,10,0.25,0.02,0.23,0.16,0.34,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,15,0.2,0.02,0.18,0.13,0.28,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,20,0.09,0.01,0.08,0.04,0.15,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,30,0.04,0.01,0.03,0.01,0.08,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,50,0.03,0.04,-0.01,0.0,0.07,0.01,0.08,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,30,75,0.08,0.08,0.0,0.03,0.13,0.03,0.14,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,5,0.84,0.51,0.33,0.76,0.91,0.41,0.61,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,7,0.87,0.47,0.4,0.8,0.93,0.37,0.57,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,10,0.89,0.42,0.47,0.83,0.94,0.32,0.52,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,15,0.8,0.36,0.44,0.72,0.88,0.27,0.46,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,20,0.84,0.31,0.53,0.76,0.91,0.22,0.4,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,30,0.74,0.25,0.49,0.65,0.8202,0.16,0.34,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,2,50,0.77,0.17,0.6,0.69,0.85,0.1,0.24,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,5,0.71,0.56,0.15,0.62,0.79,0.46,0.65,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,7,0.78,0.43,0.35,0.69,0.85,0.33,0.53,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,10,0.75,0.44,0.31,0.66,0.83,0.34,0.53,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,15,0.82,0.28,0.54,0.75,0.89,0.19,0.36,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,20,0.78,0.29,0.49,0.7,0.86,0.21,0.38,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,30,0.85,0.16,0.69,0.78,0.92,0.09,0.23,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,3,50,0.73,0.08,0.65,0.64,0.82,0.03,0.14,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,5,0.67,0.51,0.16,0.57,0.76,0.41,0.61,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,7,0.71,0.29,0.42,0.62,0.8,0.2,0.38,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,10,0.72,0.31,0.41,0.63,0.8,0.22,0.4,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,15,0.68,0.23,0.45,0.58,0.77,0.15,0.31,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,20,0.67,0.18,0.49,0.58,0.76,0.11,0.26,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,30,0.72,0.13,0.59,0.63,0.81,0.07,0.2,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,5,50,0.54,0.06,0.48,0.44,0.63,0.02,0.11,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,5,0.69,0.37,0.32,0.6,0.78,0.28,0.47,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,7,0.6,0.37,0.23,0.5098,0.7,0.28,0.46,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,10,0.69,0.14,0.55,0.59,0.78,0.07,0.21,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,15,0.65,0.2,0.45,0.56,0.74,0.12,0.28,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,20,0.75,0.05,0.7,0.66,0.83,0.01,0.1,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,30,0.67,0.04,0.63,0.57,0.76,0.01,0.08,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,7,50,0.49,0.03,0.46,0.39,0.59,0.0,0.07,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,5,0.66,0.34,0.32,0.56,0.75,0.25,0.43,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,7,0.64,0.22,0.42,0.55,0.73,0.14,0.3,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,10,0.71,0.14,0.57,0.62,0.79,0.08,0.21,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,15,0.65,0.04,0.61,0.56,0.74,0.01,0.08,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,20,0.62,0.1,0.52,0.53,0.7102,0.05,0.16,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,30,0.52,0.05,0.47,0.43,0.63,0.01,0.09,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,10,50,0.32,0.07,0.25,0.23,0.41,0.02,0.12,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,15,5,0.51,0.18,0.33,0.41,0.6,0.1,0.26,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
Qwen2.5-0.5B-Instruct,semantic_multi,15,7,0.72,0.2,0.52,0.63,0.81,0.12,0.28,100,100,v3/results_vllm/semantic_multi/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_225340.json
